hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo,tecnica,tipo de movimiento
15/5/2025-12:21:20::2::28::283,0.03414239,0.0039397366,0.6784888,0.0012710526,307.2815,35.45763,6106.399,11.439474,,
15/5/2025-12:21:20::3::32::324,0.028410148,0.004452982,0.8217692,0.0014555969,255.69133,40.07684,7395.9224,13.100372,,
15/5/2025-12:21:20::3::32::324,0.028410148,0.004452982,0.8217692,0.0014555969,255.69133,40.07684,7395.9224,13.100372,,
15/5/2025-12:21:20::3::39::395,0.034025062,0.0055600135,1.0,0.0015211592,306.22556,50.040123,11082.696,13.690433,,
15/5/2025-12:21:20::4::46::465,0.034621906,0.0051800027,1.0,0.0014982787,311.59714,46.62002,9453.637,13.4845085,,
15/5/2025-12:21:20::4::46::465,0.034621906,0.0051800027,1.0,0.0014982787,311.59714,46.62002,9453.637,13.4845085,,
15/5/2025-12:21:21::4::49::498,0.036512453,0.0054688216,1.0,0.0013160452,328.6121,49.219395,10725.232,11.844407,,
15/5/2025-12:21:21::5::53::531,0.036175568,0.005493501,0.91212684,0.001239553,325.5801,49.44151,8209.142,11.155977,,
15/5/2025-12:21:21::5::56::567,0.036699012,0.0041960375,0.69816566,0.0015444667,330.2911,37.76434,6283.4907,13.900201,,
15/5/2025-12:21:21::6::63::635,0.03693216,0.0042399284,0.64034146,0.001161223,332.38943,38.159355,5763.073,10.451007,,
15/5/2025-12:21:21::6::63::635,0.044038337,0.0041652066,0.66954327,0.0012113712,396.34503,37.48686,6025.8896,10.902341,,
15/5/2025-12:21:21::7::70::706,0.04607934,0.0046302914,0.6794521,0.0014114031,414.71408,41.672623,6115.0693,12.702627,,
15/5/2025-12:21:21::7::74::742,0.04138624,0.0059568975,0.677864,0.0020508687,372.47617,53.61208,6100.776,18.457819,,
15/5/2025-12:21:21::7::74::742,0.04138624,0.0059568975,0.677864,0.0020508687,372.47617,53.61208,6100.776,18.457819,,
15/5/2025-12:21:21::7::77::779,0.040201645,0.0057278946,0.5897439,0.0020405024,361.81482,51.551052,5307.6953,18.364521,,
15/5/2025-12:21:21::8::81::811,0.03890093,0.005509714,0.49302492,0.0016903017,350.10837,49.58743,4437.224,15.212715,,
15/5/2025-12:21:21::8::84::848,0.038197707,0.006039451,0.60838854,0.001553075,343.77936,54.355057,5475.497,13.977675,,
